CustomerKey,Segment,Customer Name,Customer ID
1,"Consumer","Alex Avila","AA-10315"
2,"Consumer","Allen Armold","AA-10375"
3,"Consumer","Andrew Allen","AA-10480"
4,"Consumer","Anna Andreadi","AA-10645"
5,"Consumer","Alex Avila","AA-315"
6,"Consumer","Allen Armold","AA-375"
7,"Consumer","Andrew Allen","AA-480"
8,"Consumer","Anna Andreadi","AA-645"
9,"Consumer","Aaron Bergman","AB-10015"
11,"Consumer","Adrian Barton","AB-10105"
12,"Consumer","Aimee Bixby","AB-10150"
13,"Consumer","Alan Barnes","AB-10165"
15,"Consumer","Adrian Barton","AB-105"
17,"Consumer","Aaron Bergman","AB-15"
18,"Consumer","Aimee Bixby","AB-150"
19,"Consumer","Alan Barnes","AB-165"
24,"Consumer","Amy Cox","AC-10450"
26,"Consumer","Anna Chung","AC-10660"
28,"Consumer","Amy Cox","AC-450"
30,"Consumer","Anna Chung","AC-660"
33,"Consumer","Art Ferguson","AF-10870"
34,"Consumer","Art Foster","AF-10885"
35,"Consumer","Art Ferguson","AF-870"
36,"Consumer","Art Foster","AF-885"
37,"Consumer","Alejandro Grove","AG-10270"
39,"Consumer","Alex Grayson","AG-10330"
40,"Consumer","Allen Goldenen","AG-10390"
43,"Consumer","Anna Gayman","AG-10675"
45,"Consumer","Arthur Gainer","AG-10900"
46,"Consumer","Alejandro Grove","AG-270"
48,"Consumer","Alex Grayson","AG-330"
49,"Consumer","Allen Goldenen","AG-390"
52,"Consumer","Anna Gayman","AG-675"
54,"Consumer","Arthur Gainer","AG-900"
59,"Consumer","Alan Hwang","AH-10210"
60,"Consumer","Amy Hunt","AH-10465"
61,"Consumer","Angele Hood","AH-10585"
65,"Consumer","Alan Hwang","AH-210"
67,"Consumer","Amy Hunt","AH-465"
68,"Consumer","Angele Hood","AH-585"
71,"Consumer","Arianne Irving","AI-10855"
72,"Consumer","Arianne Irving","AI-855"
75,"Consumer","Ashley Jarboe","AJ-10945"
76,"Consumer","Astrea Jones","AJ-10960"
79,"Consumer","Ashley Jarboe","AJ-945"
80,"Consumer","Astrea Jones","AJ-960"
82,"Consumer","Anne McFarland","AM-10705"
84,"Consumer","Anne McFarland","AM-705"
88,"Consumer","Arthur Prichep","AP-10915"
90,"Consumer","Arthur Prichep","AP-915"
93,"Consumer","Andrew Roberts","AR-10510"
94,"Consumer","Andy Reiter","AR-10540"
95,"Consumer","Anemone Ratner","AR-10570"
99,"Consumer","Andrew Roberts","AR-510"
100,"Consumer","Andy Reiter","AR-540"
101,"Consumer","Anemone Ratner","AR-570"
104,"Consumer","Adam Shillingsburg","AS-10090"
107,"Consumer","Alan Shonely","AS-10240"
112,"Consumer","Alan Shonely","AS-240"
116,"Consumer","Adam Shillingsburg","AS-90"
118,"Consumer","Annie Thurman","AT-10735"
120,"Consumer","Annie Thurman","AT-735"
121,"Consumer","Anthony Witt","AW-10840"
123,"Consumer","Anthony Witt","AW-840"
127,"Consumer","Annie Zypern","AZ-10750"
128,"Consumer","Annie Zypern","AZ-750"
135,"Consumer","Bill Donatelli","BD-11320"
136,"Consumer","Bradley Drucker","BD-11500"
138,"Consumer","Brian Dahlen","BD-11605"
139,"Consumer","Brian DeCherney","BD-11620"
140,"Consumer","Brian Derr","BD-11635"
141,"Consumer","Bruce Degenhardt","BD-11725"
142,"Consumer","Bryan Davis","BD-11770"
143,"Consumer","Bill Donatelli","BD-1320"
144,"Consumer","Bradley Drucker","BD-1500"
146,"Consumer","Brian Dahlen","BD-1605"
147,"Consumer","Brian DeCherney","BD-1620"
148,"Consumer","Brian Derr","BD-1635"
149,"Consumer","Bruce Degenhardt","BD-1725"
150,"Consumer","Bryan Davis","BD-1770"
152,"Consumer","Bobby Elias","BE-11410"
155,"Consumer","Bobby Elias","BE-1410"
159,"Consumer","Bart Folk","BF-1080"
163,"Consumer","Bart Folk","BF-11080"
171,"Consumer","Barry Gonzalez","BG-1035"
172,"Consumer","Barry Gonzalez","BG-11035"
174,"Consumer","Bruce Geld","BG-11740"
176,"Consumer","Bruce Geld","BG-1740"
177,"Consumer","Brosina Hoffman","BH-11710"
178,"Consumer","Brosina Hoffman","BH-1710"
179,"Consumer","Berenike Kampe","BK-11260"
180,"Consumer","Berenike Kampe","BK-1260"
181,"Consumer","Becky Martin","BM-11140"
182,"Consumer","Becky Martin","BM-1140"
185,"Consumer","Bryan Mills","BM-11785"
188,"Consumer","Bryan Mills","BM-1785"
190,"Consumer","Bradley Nguyen","BN-11515"
192,"Consumer","Bradley Nguyen","BN-1515"
194,"Consumer","Bobby Odegard","BO-11425"
196,"Consumer","Bobby Odegard","BO-1425"
201,"Consumer","Becky Pak","BP-11155"
203,"Consumer","Benjamin Patterson","BP-11230"
204,"Consumer","Beth Paige","BP-11290"
205,"Consumer","Becky Pak","BP-1155"
207,"Consumer","Benjamin Patterson","BP-1230"
208,"Consumer","Beth Paige","BP-1290"
212,"Consumer","Brian Stugart","BS-11665"
213,"Consumer","Bruce Stewart","BS-11755"
218,"Consumer","Brian Stugart","BS-1665"
219,"Consumer","Bruce Stewart","BS-1755"
223,"Consumer","Bobby Trafton","BT-11440"
226,"Consumer","Brian Thompson","BT-11680"
229,"Consumer","Bobby Trafton","BT-1440"
232,"Consumer","Brian Thompson","BT-1680"
235,"Consumer","Barry Weirich","BW-1065"
236,"Consumer","Barry Weirich","BW-11065"
239,"Consumer","Ben Wallace","BW-11200"
240,"Consumer","Ben Wallace","BW-1200"
243,"Consumer","Christina Anderson","CA-12265"
245,"Consumer","Cynthia Arntzen","CA-12775"
248,"Consumer","Christina Anderson","CA-2265"
250,"Consumer","Cynthia Arntzen","CA-2775"
251,"Consumer","Cassandra Brandow","CB-12025"
252,"Consumer","Christy Brittain","CB-12415"
254,"Consumer","Cassandra Brandow","CB-2025"
255,"Consumer","Christy Brittain","CB-2415"
258,"Consumer","Charles Crestani","CC-12145"
259,"Consumer","Chris Cortes","CC-12220"
260,"Consumer","Christopher Conant","CC-12370"
262,"Consumer","Cindy Chapman","CC-12475"
263,"Consumer","Clay Cheatham","CC-12550"
265,"Consumer","Craig Carreira","CC-12670"
266,"Consumer","Craig Carroll","CC-12685"
268,"Consumer","Charles Crestani","CC-2145"
269,"Consumer","Chris Cortes","CC-2220"
270,"Consumer","Christopher Conant","CC-2370"
272,"Consumer","Cindy Chapman","CC-2475"
273,"Consumer","Clay Cheatham","CC-2550"
275,"Consumer","Craig Carreira","CC-2670"
276,"Consumer","Craig Carroll","CC-2685"
277,"Consumer","Carlos Daly","CD-11920"
278,"Consumer","Carol Darley","CD-11980"
279,"Consumer","Christina DeMoss","CD-12280"
281,"Consumer","Carlos Daly","CD-1920"
282,"Consumer","Carol Darley","CD-1980"
283,"Consumer","Christina DeMoss","CD-2280"
